ID,CanopyArea,_B1mean,_B2mean,_B3mean,_B4mean,NDVI,GNDVI
B101-17,0.2302,38490.81667,20857.58333,46667.15,36711.13333,0.275384808,-0.023665
B101-28,0.3799,30613.76238,14626.93069,38906.58416,32372.76238,0.377573353,0.027926608
B101-35,0.201,36540.45098,17964.68627,45267.90196,35947.07843,0.333552282,-0.008186
B103-20,0.488,25565.20455,7860.30303,48910.86364,43053.04545,0.691228204,0.254856994
B103-30,0.2914,29913.3875,12600.4375,45927.5375,38752.7,0.509263188,0.128728938
B103-36,0.3478,29987.10526,10461.37895,48559.93684,41113.6,0.594323482,0.156489232
B104-15,1.135,24468.37942,8479.009646,42527.08682,39509.90032,0.646626287,0.235103553
B104-26,1.1711,22584.88818,7741.578275,40458.33866,38405.50799,0.664482467,0.259395262
B104-31,1.1696,24391.73633,8554.762058,42952.54019,40008.24759,0.647684025,0.242492471
B111-10,0.4856,25451.78295,7016.100775,49376.30233,42229.57364,0.715057176,0.24789383
B111-14,0.6179,22691.78528,6082.95092,50438.54601,45628.1227,0.764733141,0.335720
B111-46,0.5654,27807.90789,8787.809211,48280.92763,40275.56579,0.641777223,0.183123117
B117-12,0.4069,27816.20536,8615.678571,49022.52679,44537.10714,0.675814599,0.231100709
B117-48,0.2609,28630.31884,10535.52174,45357.27536,38936.86957,0.574084799,0.152537807
B117-9,0.3847,26357.73267,10135.85149,39973.89109,36236.84158,0.562852584,0.157826921
B118-11,0.3653,28062.58163,9425.112245,48970.38776,44654.72449,0.651437104,0.228173233
B118-13,1.0475,22356.80727,7161.316364,40691.38545,39888.66545,0.695586859,0.28165676
B118-47,0.3021,28875.26829,9522.658537,47896.32927,43825.12195,0.642997011,0.205636498
B203-38,0.4584,27338.27049,9707.270492,45063.71311,38704.52459,0.598970851,0.172104377
B203-40,0.4383,26557.61207,9392.715517,43451.81034,37278.34483,0.597492945,0.167941914
B203-43,0.4192,28290.42202,8714.899083,48126.93578,41707.78899,0.65432628,0.19168157
B207-39,0.2139,31077.16667,13206.98148,41557.53704,36584.27778,0.469506027,0.08139216
B207-60,0.401,31576.1,13510.20909,42432.72727,37871.69091,0.474125749,0.090652141
B208-37,0.2643,27365.61644,8814.561644,47970.79452,43490.13699,0.662953353,0.22756826
B208-41,0.6704,26760.25989,8553.627119,43954.15819,39377.58757,0.643087405,0.190773183
B208-42,0.3072,28098.50633,8530.417722,47567.79747,42030.08861,0.662565969,0.198657656
B211-49,0.4134,26312.02804,8211.785047,43970.62617,39652.09346,0.656869217,0.20223214
B211-56,0.7386,24593.71429,8449.923469,39382.71939,35457.34184,0.615101355,0.180906519
B211-59,0.7753,27375.29524,10381.04286,42394.23333,37458.48095,0.566005594,0.155523653
B216-54,0.2892,29760.97333,10369,46140.01333,42140.62667,0.605062894,0.172174935
B216-58,0.2655,29886.74286,11014.1,43977.15714,40394.1,0.571504157,0.149505281
B305-1,0.7134,25501.19577,9469.444444,40390.10582,37909.14815,0.600264848,0.195677103
B305-3,0.8343,25721.63134,8895.423963,41657.70046,39414.73272,0.631736903,0.210222072
B305-51,0.5733,25518.8543,8638.953642,40721.09934,39362.71523,0.640056113,0.21337124
B306-2,0.4868,28773.17829,9396.666667,49970.52713,46058.56589,0.661108024,0.230990
B306-4,0.6148,27138.11834,7229.449704,48338.59763,46301.14793,0.729894676,0.260937106
B306-5,0.9287,26649.41833,7973.621514,44970.27888,42956.14343,0.686877741,0.234273306
B308-50,0.2826,29373.91667,9626.930556,48539.19444,43380.20833,0.636768528,0.19251543
B308-52,0.3886,29923.43925,9568.971963,48685.91589,44143.14019,0.643694073,0.191985387
B308-6,0.281,29157.63889,9731.555556,47622,41710.59722,0.621650532,0.177130955
B311-10,0.1118,32935.43333,15374.9,40068.8,34142.03333,0.379004354,0.017988157
B311-19,0.1454,31749.17949,13005.89744,47682.17949,38256.76923,0.492578195,0.092957668
B311-27,0.1456,35253.12195,16789.63415,41146.04878,32842.04878,0.323430794,-0.035407
B316-21,0.3418,29014.97701,8447.183908,50315.08046,44820.09195,0.682837773,0.214060
B316-24,0.4763,29581.17073,9992.707317,47202.30894,42044.3252,0.615938618,0.174004442
B316-7,0.4931,29025.02362,9169.566929,49758.17323,42959.59843,0.648198207,0.193577106
B318-16,0.3811,23486.27184,6765.087379,46920.94175,44482.26214,0.735982936,0.308907506
B318-25,0.4738,27024.496,9169.912,47587.432,44376.6,0.657497317,0.243022936
B318-8,0.6268,25144.3375,7956.30625,48405.35625,44456.5625,0.696398749,0.277470909
B402-33,0.275,28123.24324,9457.905405,46873.7027,36409.35135,0.58759664,0.128401905
B402-45,0.2885,26826.44872,8353.24359,48150.85897,38739.91026,0.645245947,0.181700825
B402-57,0.2257,29130.79365,10769.4127,47403.4127,35283.1746,0.532299342,0.095513149
B404-34,0.2856,30457.27632,11031.61842,48921.05263,39479.09211,0.563196862,0.129000
B404-44,0.3098,30776.16049,11607.41975,49179.03704,39184.06173,0.542938327,0.120181168
B404-55,0.278,30949.78378,12738.82432,48886.82432,38057.12162,0.498431456,0.102994589
B410-10,0.0752,27255,11595.54545,43222.68182,30902.09091,0.454296923,0.062711027
B410-32,0.2218,27790.45313,9908.546875,46312.82813,32191.39063,0.529284485,0.073371161
B410-63,0.3758,29577.30303,11115.9596,49167.56566,37787.50505,0.545391735,0.121876722
B416-23,0.5198,25885.10638,6707.886525,50016.4539,44081.56028,0.735855106,0.260073186
B416-29,0.3616,25307.12371,6942.010309,47802.41237,41463.40206,0.713172145,0.241967218
B416-64,0.5842,27762.83871,7930.967742,51213.41935,44108.04516,0.695191461,0.227424592
B417-22,0.3374,30020.01075,11608.60215,46795.34409,39723.33333,0.547704483,0.139129012
B417-23,0.1965,23766.59615,7487.884615,38612.53846,33163.11538,0.631601456,0.165054749
B417-61,0.2068,29214.62712,10487.50847,46306.98305,38237.86441,0.569525779,0.133771742
B418-18,0.2827,25503.16216,9185.472973,42501.62162,37778.27027,0.608827051,0.193976458
B418-20,0.0695,28062.33333,12072,42832.83333,34596,0.482643353,0.104274505
B418-62,0.2431,28394.5,11545.78125,45143.48438,39399.21875,0.54673545,0.162326525
