Variety,Treatment,Unit,Rep,TotalFreshWeight_g,TotalDryWeight_g,RootFreshWeight_g,RootDryWeight_g,StemDryWeight_g,LeavesDryWeight_g,FlowerDryWeight_g,,,,,,,
Wife,0,101,1,215,60.94,34,9,26.02,14.65,20.1,,,,,,,
Wife,0,101,2,161,63,29,8,33.15,10.01,17.75,,,,,,,
Wife,0,101,3,185,58.77,27,7,NA,NA,NA,,,,,,,
Wife,150,103,1,1559,396.49,185,52,172.92,100.98,122.3,,,,,,,
Wife,150,103,2,580,168,77,23,87.56,25.44,43.10,,,,,,,
Wife,150,103,3,691,203.63,67,18,93.30,30.94,77.46,,,,,,,
Wife,250,104,1,1497,430.16,166,50,204.85,111.19,113.8,,,,,,,
Wife,250,104,2,1865,557,242,71,272.33,135.79,131.91,,,,,,,
Wife,250,104,3,1711,498.09,189,69,267.84,108.47,121.68,,,,,,,
Wife,200,111,2,1885,537,261,67,275.46,110.65,138.02,,,,,,,
Wife,200,111,3,836,342.69,132,33,203.22,61.63,73.14,,,,,,,
Wife,50,117,1,672,186.84,83,23,82.45,50.07,54.16,,,,,,,
Wife,50,117,2,1029,270,147,31,139.12,52.81,67.05,,,,,,,
Wife,50,117,3,615,169,102,44,92.80,27.58,48.80,,,,,,,
Wife,100,118,1,875,249.68,68,19,102.80,70.38,76.31,,,,,,,
Wife,100,118,2,2169,576.21,210,58,224.94,210.95,140.12,,,,,,,
Wife,100,118,3,1263,341.90,121,36,123.95,98.58,119.36,,,,,,,
Wife,150,203,1,1074,281.12,147,41,131.03,57.95,92.03,,,,,,,
Wife,150,203,2,1221,331.44,163,44,170.08,94.5,66.59,,,,,,,
Wife,150,203,3,1236,326.66,151,41,150.74,83.70,92.05,,,,,,,
Wife,100,207,1,788,217.82,112,31,99.90,44.10,73.67,,,,,,,
Wife,100,207,3,385,109.48,27,7,43.69,25.31,40.52,,,,,,,
Wife,200,208,1,1448,416.08,237,62,236.95,79.88,98.95,,,,,,,
Wife,200,208,2,1611,449.27,187,54,193.43,133.72,122.03,,,,,,,
Wife,200,208,3,1159,346.54,200,56,205.24,66.45,74.63,,,,,,,
Wife,250,211,1,1290,342.83,200,50,162.45,83.68,96.49,,,,,,,
Wife,250,211,2,1220,367.55,137,37,160.61,89.1,117.64,,,,,,,
Wife,250,211,3,1305,378.73,205,56,193.88,85.00,99.76,,,,,,,
Wife,0,212,1,337,79.76,40,12,34.40,18.51,26.73,,,,,,,
Wife,0,212,2,198,62.75,27,8,27.76,15.77,19.11,,,,,,,
Wife,0,212,3,293,76.58,52,13,37.40,15.42,23.79,,,,,,,
Wife,50,216,1,812,207.6,80,29,93.24,51.52,62.65,,,,,,,
Wife,50,216,3,511,148.96,64,23,65.75,36.05,47.15,,,,,,,
Wife,50,305,1,1016,270.27,138,43,122.39,69.37,78.61,,,,,,,
Wife,50,305,2,858,230.45,102,33,90.09,62.33,77.89,,,,,,,
Wife,50,305,3,1254,334.95,190,55,146.01,77.68,111.22,,,,,,,
Wife,250,306,1,1047,280.13,130,37,129.55,77.78,72.63,,,,,,,
Wife,250,306,2,1639,452.55,235,74,217.05,110,125.20,,,,,,,
Wife,250,306,3,1905,507.67,271,84,231.95,113.84,161.95,,,,,,,
Wife,150,308,1,886,239.60,125,38,129.22,70.75,51.43,,,,,,,
Wife,150,308,2,1004,277.5,129,40,120.42,105.79,51.13,,,,,,,
Wife,150,308,3,1542,423.64,206,61,198.19,102.06,123.46,,,,,,,
Wife,0,311,1,203,58.96,25,7,25.01,11.39,22.52,,,,,,,
Wife,0,311,2,224,69.01,25,7,26.89,18.43,23.51,,,,,,,
Wife,0,311,3,371,109.63,33,15,48.87,28.01,32.64,,,,,,,
Wife,100,316,1,977,269.81,138,47,146.96,64.01,58.42,,,,,,,
Wife,100,316,2,719,202.02,108,32,113.99,17.81,70.04,,,,,,,
Wife,100,316,3,956,263.26,123,36,139.13,53.94,70.07,,,,,,,
Wife,200,318,1,1825,502.02,230,76,241.00,116.87,144,,,,,,,
Wife,200,318,2,1213,321.15,201,83,187.40,69.84,63.66,,,,,,,
Wife,200,318,3,1115,313.30,142,37,155.13,99.43,58.81,,,,,,,
Wife,250,402,1,333,97.37,25,12,44.96,25.71,26.66,,,,,,,
Wife,250,402,2,916,250.95,117,33,112.39,74.58,63.77,,,,,,,
Wife,250,402,3,902,264.21,131,36,155.79,53.20,55.18,,,,,,,
Wife,50,404,1,275,90.11,64,23,56.62,20.02,13.41,,,,,,,
Wife,50,404,2,434,130.07,67,19,70.98,25.94,32.98,,,,,,,
Wife,50,404,3,492,150.59,69,18,75.52,27.49,47.38,,,,,,,
Wife,150,410,1,394,105.43,69,24,43.95,33.81,27.59,,,,,,,
Wife,150,410,2,915,267.42,130,40,140.48,71.42,55.41,,,,,,,
Wife,150,410,3,520,153.67,82,29,85.36,29.99,38.37,,,,,,,
Wife,200,416,1,1573,430.9,166,48,202.87,113.42,114.47,,,,,,,
Wife,200,416,2,1692,481.29,211,54,228.51,149.77,102.70,,,,,,,
Wife,200,416,3,1249,368.77,152,41,155.97,93.52,119.01,,,,,,,
Wife,100,417,1,936,265.08,96,25,109.02,92.06,63.86,,,,,,,
Wife,100,417,2,593,173.09,48,14,64.37,50.17,58.30,,,,,,,
Wife,100,417,3,503,144.87,59,12,65.47,37.61,41.59,,,,,,,
Wife,0,418,1,630,148.6,70,24,61.10,31.64,55.72,,,,,,,
Wife,0,418,2,540,145.44,78,22,69.70,34.72,41.17,,,,,,,
Wife,0,418,3,140,30.15,16,4,12.64,6.29,11.13,,,,,,,
